timestamp,solving_id,question_id,user_answer,elapsed_time
1507798809667,1,q8098,b,19000
1507808073037,2,q8074,d,50000
1507808097453,3,q176,c,22000
1507808118699,4,q1279,b,19000
1507808196282,5,q2067,b,24666
1507808196663,5,q2068,a,24666
1507808197171,5,q2069,d,24666
1507808295515,6,q3411,a,30666
1507808296221,6,q3412,a,30666
1507808296626,6,q3413,c,30666
1507808354109,7,q2991,b,18000
1507808354641,7,q2992,b,18000
1507808354899,7,q2993,d,18000
1507808418234,8,q2628,c,20000
1507808418642,8,q2629,b,20000
1507808419028,8,q2630,b,20000
1507808446860,9,q4555,b,26000
1507808469472,10,q4178,c,21000
1507808488886,11,q4761,c,17000
1507808506780,12,q6185,b,16000
1507808524379,13,q6243,a,16000
1507808567696,14,q6442,a,41000
1507808759634,15,q6949,d,47500
1507808760017,15,q6950,b,47500
1507808760370,15,q6951,d,47500
1507808760936,15,q6952,c,47500
1507808981536,16,q7335,c,53750
1507808981941,16,q7336,d,53750
1507808982270,16,q7337,d,53750
1507808982698,16,q7338,d,53750
1507809585388,17,q1111,a,16000
1507809615742,18,q1148,b,12000
1507809636810,19,q519,b,16000
1507809674948,20,q289,c,14000
1507809706962,21,q405,b,19000
1507809765226,22,q614,c,19000
1507809853921,23,q1098,a,19000
1507809914655,24,q913,a,7000
1507809931121,25,q205,a,10000
1507809958310,26,q807,b,16000
1507810045350,27,q650,b,16000
1507810088525,28,q1236,b,14000
1507810128615,29,q458,a,14000
1507810155942,30,q1340,a,10000
1507810201898,31,q963,c,16000
1507810234895,32,q512,c,14000
1507810258491,33,q709,c,14000
1507810280403,34,q1180,c,13000
1507810301714,35,q1271,c,16000
1507810327558,36,q1290,c,16000
1507810405812,37,q514,a,17000
1507810460113,38,q958,a,16000
1507810504872,39,q362,a,11000
1507883409873,40,q71,b,22000
1507883445948,41,q8095,b,20000
1507883485623,42,q161,d,19000
1507883537016,43,q43,a,21000
1507883593884,44,q8153,c,23000
1507883647586,45,q8061,b,19000
1507883682928,46,q95,d,19000
1507883723948,47,q146,b,24000
1507883784096,48,q131,c,23000
1507883910485,49,q154,d,22000
1507883954329,50,q8050,c,18000
1507883991988,51,q129,b,23000
1507884029736,52,q8110,a,12000
1507884059536,53,q163,a,23000
1507884101860,54,q8111,c,25000
1507884152598,55,q8058,b,21000
1507884176326,56,q116,a,8000
1507884236438,57,q185,a,21000
1507884292185,58,q8128,b,17000
1507884343699,59,q8126,c,21000
1507891569400,60,q8103,d,21000
1507891624625,61,q8063,b,22000
1507891945016,62,q8052,c,22000
1507892298697,63,q166,a,32000
1507893613692,64,q189,b,22000
1507893710356,65,q8143,c,22000
1507893757713,66,q100,c,19000
1507893841464,67,q8077,d,22000
1507893884368,68,q8134,c,21000
1507893937593,69,q47,d,20000
1507894001390,70,q8124,a,20000
1507894050358,71,q53,c,19000
1507894074355,72,q1,b,18000
1507894356194,73,q1015,a,16000
1507894402213,74,q654,b,15000
1507894528378,75,q2319,a,13333
1507894529045,75,q2320,b,13333
1507894529531,75,q2321,d,13333
1507894691481,76,q2175,b,13000
1507894692167,76,q2176,a,13000
1507894692594,76,q2177,b,13000
1507894829833,77,q2154,c,13666
1507894830458,77,q2155,b,13666
1507894830869,77,q2156,a,13666
1507894989380,78,q1749,c,19333
1507894989792,78,q1750,d,19333
1507894990164,78,q1751,c,19333
1507895124929,79,q1887,a,17000
1507895125353,79,q1888,c,17000
1507895125782,79,q1889,c,17000
1507895301976,80,q1728,b,20000
1507895302209,80,q1729,b,20000
1507895302563,80,q1730,d,20000
1507895450335,81,q1869,b,18666
1507895450727,81,q1870,d,18666
1507895451151,81,q1871,c,18666
1507895651855,82,q1797,b,19000
1507895652323,82,q1798,a,19000
1507895652801,82,q1799,d,19000
1507895818610,83,q1941,c,20333
1507895819203,83,q1942,b,20333
1507895819762,83,q1943,d,20333
1507896015645,84,q1683,b,15666
1507896016339,84,q1684,c,15666
1507896017070,84,q1685,b,15666
1507896152708,85,q1773,a,20666
1507896153032,85,q1774,d,20666
1507896153288,85,q1775,c,20666
1507896467664,86,q2559,b,13000
1507896468020,86,q2560,b,13000
1507896468283,86,q2561,b,13000
1508043975127,87,q1215,b,14000
1508044120667,88,q315,a,16000
1508044148290,89,q1167,b,16000
1508044187398,90,q197,a,20000
